dia,hora,pct_inbound,pct_storing,pct_outbound
domingo,00:00:00,0.11,0.0,0.15
domingo,01:00:00,0.07,0.03,0.1
domingo,02:00:00,0.06,0.03,0.01
domingo,03:00:00,0.08,0.04,0.03
domingo,04:00:00,0.08,0.03,0.02
domingo,05:00:00,0.01,0.0,0.01
domingo,06:00:00,0.02,0.0,0.01
domingo,07:00:00,0.03,0.03,0.0
domingo,08:00:00,0.02,0.03,0.0
domingo,09:00:00,0.02,0.01,0.0
domingo,10:00:00,0.01,0.01,0.0
domingo,11:00:00,0.03,0.02,0.01
domingo,12:00:00,0.04,0.02,0.01
domingo,13:00:00,0.03,0.04,0.02
domingo,14:00:00,0.01,0.04,0.0
domingo,15:00:00,0.04,0.05,0.0
domingo,16:00:00,0.08,0.07,0.0
domingo,17:00:00,0.06,0.09,0.02
domingo,18:00:00,0.08,0.1,0.06
domingo,19:00:00,0.05,0.09,0.08
domingo,20:00:00,0.03,0.11,0.07
domingo,21:00:00,0.02,0.11,0.18
domingo,22:00:00,0.0,0.04,0.15
domingo,23:00:00,0.01,0.0,0.07
lunes,00:00:00,0.14,0.02,0.14
lunes,01:00:00,0.06,0.03,0.11
lunes,02:00:00,0.05,0.03,0.01
lunes,03:00:00,0.11,0.04,0.03
lunes,04:00:00,0.01,0.03,0.01
lunes,05:00:00,0.01,0.0,0.0
lunes,06:00:00,0.03,0.0,0.02
lunes,07:00:00,0.03,0.03,0.0
lunes,08:00:00,0.01,0.03,0.0
lunes,09:00:00,0.03,0.01,0.02
lunes,10:00:00,0.02,0.01,0.0
lunes,11:00:00,0.05,0.02,0.06
lunes,12:00:00,0.03,0.02,0.01
lunes,13:00:00,0.03,0.04,0.02
lunes,14:00:00,0.01,0.04,0.0
lunes,15:00:00,0.02,0.05,0.0
lunes,16:00:00,0.07,0.07,0.01
lunes,17:00:00,0.09,0.09,0.01
lunes,18:00:00,0.07,0.1,0.05
lunes,19:00:00,0.06,0.09,0.09
lunes,20:00:00,0.02,0.11,0.09
lunes,21:00:00,0.02,0.11,0.16
lunes,22:00:00,0.01,0.04,0.1
lunes,23:00:00,0.04,0.0,0.07
martes,00:00:00,0.12,0.01,0.09
martes,01:00:00,0.04,0.02,0.07
martes,02:00:00,0.04,0.02,0.01
martes,03:00:00,0.1,0.03,0.03
martes,04:00:00,0.07,0.02,0.04
martes,05:00:00,0.05,0.0,0.01
martes,06:00:00,0.04,0.01,0.01
martes,07:00:00,0.04,0.03,0.0
martes,08:00:00,0.02,0.04,0.0
martes,09:00:00,0.01,0.03,0.02
martes,10:00:00,0.03,0.02,0.0
martes,11:00:00,0.02,0.03,0.02
martes,12:00:00,0.03,0.03,0.01
martes,13:00:00,0.04,0.04,0.01
martes,14:00:00,0.03,0.03,0.0
martes,15:00:00,0.02,0.05,0.01
martes,16:00:00,0.05,0.06,0.01
martes,17:00:00,0.05,0.08,0.03
martes,18:00:00,0.04,0.09,0.08
martes,19:00:00,0.06,0.1,0.1
martes,20:00:00,0.04,0.1,0.12
martes,21:00:00,0.03,0.09,0.19
martes,22:00:00,0.01,0.06,0.12
martes,23:00:00,0.01,0.0,0.06
miercoles,00:00:00,0.11,0.01,0.12
miercoles,01:00:00,0.06,0.02,0.07
miercoles,02:00:00,0.04,0.03,0.01
miercoles,03:00:00,0.09,0.03,0.03
miercoles,04:00:00,0.08,0.02,0.03
miercoles,05:00:00,0.03,0.0,0.0
miercoles,06:00:00,0.03,0.01,0.01
miercoles,07:00:00,0.04,0.03,0.0
miercoles,08:00:00,0.02,0.03,0.0
miercoles,09:00:00,0.01,0.02,0.02
miercoles,10:00:00,0.03,0.02,0.01
miercoles,11:00:00,0.02,0.04,0.02
miercoles,12:00:00,0.02,0.03,0.0
miercoles,13:00:00,0.05,0.04,0.01
miercoles,14:00:00,0.03,0.03,0.0
miercoles,15:00:00,0.03,0.05,0.01
miercoles,16:00:00,0.03,0.06,0.02
miercoles,17:00:00,0.08,0.08,0.04
miercoles,18:00:00,0.07,0.09,0.07
